Timestamp,Which freelancing platform do you work on?,"During the COVID-19 pandemic, you are getting fewer job invitations than before.","In the freelancing platform where you work, there are fewer job posts during the COVID-19 pandemic than before.","During the COVID-19 pandemic, clients are offering lower prices for work than before.","During the COVID-19 pandemic, you are getting more job invitations than before.","In the freelancing platform where you work, there are more job posts during the COVID-19 pandemic than before.","During the COVID-19 pandemic, clients are offering higher prices for work than before.",Those past eight months have been hard for you to get new contracts as a freelancer for the COVID-19 pandemic.,"In the past eight months, you have got more contracts than in previous years.",What do you think about the reason for this increment?,What do you think about the reason for this decrement?,Staying home during the COVID-19 pandemic is an advantage for your freelancing career.,During the COVID-19 pandemic are you facing difficulties in delivering works in time?,During the COVID-19 pandemic are you facing difficulties in delivering quality work?,Based on your experience do you think during the COVID-19 pandemic your clients are delaying in releasing the funds?,Rate the present situation of the freelancing marketplace you work in.
9/9/2020 10:26:09,Upwork,Neutral,Neutral,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Increase in online-based jobs,,Neutral,Yes,Yes,No,1
9/13/2020 9:11:11,Upwork,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/16/2020 16:38:39,Freelancer,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,World economical situation,,Neutral,No,No,No,2
9/16/2020 23:07:20,Upwork,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,,COVID-19 pandemic,Agree,No,No,No,3
9/19/2020 1:39:51,Upwork,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,World economical situation,,Strongly agree,No,No,No,5
9/19/2020 1:40:57,Upwork,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 1:54:19,PeoplePerHour,Agree,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Neutral,,,Neutral,Yes,No,Yes,5
9/19/2020 1:56:47,Upwork,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,,COVID-19 pandemic,Strongly agree,Yes,No,No,5
9/19/2020 1:57:12,Upwork,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 1:58:48,Freelancer,Disagree,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 2:05:52,Upwork,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 2:07:09,Upwork,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 2:09:04,Freelancer,Agree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 2:09:23,Upwork,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/19/2020 2:10:58,PeoplePerHour,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Agree,Neutral,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 9:47:29,Upwork,Neutral,Neutral,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,World economical situation,,Strongly agree,No,No,No,5
9/19/2020 9:55:18,Freelancer,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,World economical situation,,Strongly agree,No,No,No,5
9/19/2020 9:58:05,Upwork,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 10:00:57,Upwork,Disagree,Neutral,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,,,Strongly agree,No,Yes,No,5
9/19/2020 10:03:07,Upwork,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,,,Agree,No,No,No,5
9/19/2020 10:04:26,Upwork,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 10:16:46,Upwork,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,Yes,No,No,5
9/19/2020 10:28:43,Upwork,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/19/2020 10:29:15,Upwork,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,,,Agree,Yes,No,No,3
9/19/2020 10:29:35,Upwork,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,,,Agree,No,No,No,4
9/19/2020 10:50:16,Upwork,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,4
9/19/2020 10:51:43,Upwork,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 10:57:03,Upwork,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,,,Agree,No,Yes,No,5
9/19/2020 11:09:36,Upwork,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 11:10:54,Upwork,Strongly agree,Strongly agree,Neutral,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 11:11:15,Upwork,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,The pandemic caused by COVID-19,,Agree,No,No,No,4
9/19/2020 11:14:34,Upwork,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,3
9/19/2020 11:15:48,Freelancer,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,,,Strongly agree,No,No,No,4
9/19/2020 11:32:50,Upwork,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,No,No,No,4
9/19/2020 11:36:06,Upwork,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 11:54:27,Upwork,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 12:00:00,Freelancer,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,The pandemic caused by COVID-19,,Agree,No,No,No,4
9/19/2020 12:20:26,Upwork,Strongly disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,4
9/19/2020 12:27:09,Upwork,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,Yes,No,No,5
9/19/2020 12:30:10,Upwork,Agree,Strongly agree,Disagree,Neutral,Disagree,Agree,Strongly agree,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 12:38:05,Upwork,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,,,Strongly agree,No,No,No,4
9/19/2020 12:46:42,Freelancer,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 12:47:32,Upwork,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 12:50:28,Upwork,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,The pandemic caused by COVID-19,,Agree,No,No,No,5
9/19/2020 12:52:15,Freelancer,Agree,Neutral,Disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 12:55:19,Upwork,Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,4
9/19/2020 13:08:18,Upwork,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 13:17:22,Upwork,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,,,Strongly agree,No,Yes,No,4
9/19/2020 13:20:19,Freelancer,Disagree,Neutral,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 13:28:21,Upwork,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 15:40:13,Upwork,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 15:41:45,Upwork,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,,,Agree,No,No,No,5
9/19/2020 15:42:10,Upwork,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,,,Agree,No,No,No,5
9/19/2020 15:42:29,Upwork,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Increase in online-based jobs,,Strongly agree,Yes,No,No,5
9/19/2020 15:42:55,Upwork,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 15:44:16,Freelancer,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 15:45:40,Upwork,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,,,Strongly agree,No,Yes,No,3
9/19/2020 15:49:02,Upwork,Neutral,Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 15:51:30,Upwork,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,3
9/19/2020 15:54:52,Upwork,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,3
9/19/2020 15:55:18,Freelancer,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,,Black lives matter movement in the US,Strongly agree,No,Yes,No,5
9/19/2020 15:55:42,Upwork,Disagree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 15:56:00,Upwork,Agree,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,,Black lives matter movement in the US,Strongly agree,No,No,No,5
9/19/2020 15:58:23,Freelancer,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 15:59:49,Upwork,Strongly agree,Strongly agree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Disagree,,Black lives matter movement in the US,Strongly agree,No,No,No,5
9/19/2020 16:00:16,Upwork,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/19/2020 16:02:37,Upwork,Agree,Agree,Disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 16:09:03,Upwork,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,4
9/19/2020 16:10:38,PeoplePerHour,Strongly agree,Strongly agree,Disagree,Neutral,Strongly disagree,Agree,Agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,4
9/19/2020 16:11:01,Upwork,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,4
9/19/2020 16:11:23,Upwork,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Agree,Neutral,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 16:12:55,Upwork,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 16:15:26,Upwork,Agree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly agree,Disagree,,COVID-19 pandemic,Agree,No,Yes,No,5
9/19/2020 16:15:49,Freelancer,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,,,Agree,No,No,No,4
9/19/2020 16:27:07,Upwork,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 16:28:26,Upwork,Neutral,Neutral,Strongly disagree,Agree,Disagree,Agree,Neutral,Neutral,,,Agree,No,No,No,3
9/19/2020 16:28:47,Upwork,Neutral,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Neutral,,,Agree,No,No,No,5
9/19/2020 16:30:07,Upwork,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 16:32:20,Upwork,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,,,Strongly agree,No,Yes,No,4
9/19/2020 16:33:48,Upwork,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Disagree,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/19/2020 16:34:08,Freelancer,Agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,Yes,No,No,5
9/19/2020 16:35:36,Upwork,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 17:29:18,Upwork,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 17:37:37,Upwork,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,Disagree,Strongly agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 17:41:55,Freelancer,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,,,Strongly agree,Yes,No,No,5
9/19/2020 17:42:56,Upwork,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,World economical situation,,Agree,No,No,No,5
9/19/2020 17:56:06,Upwork,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 18:03:25,Upwork,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,,COVID-19 pandemic,Agree,No,No,No,4
9/19/2020 18:04:45,Freelancer,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 18:09:11,Upwork,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,,,Agree,No,No,No,5
9/19/2020 18:27:34,Upwork,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,World economical situation,,Agree,Yes,No,No,5
9/19/2020 18:28:02,Freelancer,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Agree,Disagree,,COVID-19 pandemic,Agree,No,No,No,4
9/19/2020 19:26:43,Upwork,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,The pandemic caused by COVID-19,,Agree,No,No,No,5
9/19/2020 19:27:19,Upwork,Disagree,Strongly disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 19:28:50,Upwork,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Agree,World economical situation,,Agree,Yes,No,No,5
9/19/2020 19:44:09,Upwork,Disagree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 19:53:23,Freelancer,Neutral,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,Neutral,,,Agree,No,No,No,4
9/19/2020 19:54:46,Freelancer,Strongly disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 19:55:08,Upwork,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 19:55:48,Upwork,Strongly disagree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Neutral,No,No,No,5
9/19/2020 19:57:33,Upwork,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,,,Agree,No,Yes,No,5
9/19/2020 19:58:12,Upwork,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,The pandemic caused by COVID-19,,Agree,No,Yes,No,5
9/19/2020 19:58:34,Upwork,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Withdrawal of the UK from the EU,,Strongly agree,Yes,Yes,Yes,1
9/19/2020 19:59:43,Upwork,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,The pandemic caused by COVID-19,,Disagree,No,No,Yes,3
9/19/2020 20:05:02,Upwork,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,,,Agree,No,No,No,4
9/19/2020 20:05:21,Freelancer,Strongly agree,Agree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 20:07:48,Upwork,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,3
9/19/2020 20:08:00,Upwork,Agree,Agree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,,,Strongly agree,No,No,No,4
9/19/2020 20:09:21,Upwork,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Agree,World economical situation,,Agree,No,No,No,4
9/19/2020 20:25:26,Upwork,Disagree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Disagree,Strongly agree,The pandemic caused by COVID-19,,Agree,No,No,No,5
9/19/2020 20:25:59,Freelancer,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 20:26:25,Upwork,Disagree,Disagree,Neutral,Agree,Strongly agree,Neutral,Disagree,Agree,World economical situation,,Agree,No,No,No,5
9/19/2020 20:30:51,Upwork,Neutral,Agree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Agree,The pandemic caused by COVID-19,,Agree,No,Yes,No,4
9/19/2020 20:33:18,Upwork,Disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Disagree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 20:33:41,Upwork,Strongly agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 20:34:00,Upwork,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 20:35:22,Freelancer,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,,,Neutral,No,No,No,4
9/19/2020 20:38:55,Freelancer,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Strongly disagree,Strongly agree,World economical situation,,Strongly disagree,Yes,No,No,4
9/19/2020 20:39:31,Upwork,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,3
9/19/2020 20:49:56,Upwork,Neutral,Agree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,,Black lives matter movement in the US,Agree,No,Yes,No,5
9/19/2020 20:53:21,Upwork,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Neutral,Agree,Increase in online-based jobs,,Agree,No,No,No,3
9/19/2020 21:02:55,Freelancer,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,,,Agree,No,No,No,4
9/19/2020 21:03:12,Upwork,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Agree,The pandemic caused by COVID-19,,Neutral,No,No,No,5
9/19/2020 21:05:35,Upwork,Agree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Disagree,,COVID-19 pandemic,Agree,Yes,No,No,3
9/19/2020 21:06:02,PeoplePerHour,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,World economical situation,,Neutral,No,Yes,No,5
9/19/2020 21:07:26,Freelancer,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Agree,The pandemic caused by COVID-19,,Disagree,Yes,Yes,No,3
9/19/2020 21:08:52,Freelancer,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,4
9/19/2020 21:09:22,Upwork,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,The pandemic caused by COVID-19,,Agree,No,No,No,4
9/19/2020 21:17:49,Upwork,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,4
9/20/2020 0:19:08,Upwork,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,,Black lives matter movement in the US,Agree,No,No,No,5
9/20/2020 0:19:32,Upwork,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,The pandemic caused by COVID-19,,Neutral,No,No,No,5
9/20/2020 0:21:03,Upwork,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,The pandemic caused by COVID-19,,Agree,No,No,No,3
9/20/2020 0:23:05,Upwork,Agree,Strongly agree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree,Neutral,,,Agree,No,No,No,4
9/20/2020 0:23:31,Freelancer,Disagree,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,The pandemic caused by COVID-19,,Agree,No,No,No,4
9/20/2020 0:27:51,Upwork,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,The pandemic caused by COVID-19,,Disagree,No,No,No,4
9/20/2020 0:32:14,Upwork,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,,,Neutral,No,No,No,5
9/20/2020 10:43:46,Upwork,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly agree,Increase in online-based jobs,,Disagree,Yes,Yes,No,3
9/20/2020 11:15:56,Upwork,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly disagree,No,Yes,No,4
9/20/2020 12:58:46,Freelancer,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Disagree,,COVID-19 pandemic,Strongly disagree,No,No,No,5
9/20/2020 13:45:55,Freelancer,Strongly agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Increase in online-based jobs,,Agree,Yes,No,No,4
9/20/2020 13:53:36,Freelancer,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Agree,The pandemic caused by COVID-19,,Disagree,Yes,Yes,Yes,4
9/20/2020 13:55:07,Upwork,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,,COVID-19 pandemic,Disagree,No,No,No,3
9/20/2020 18:03:42,Upwork,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,,COVID-19 pandemic,Neutral,No,No,No,4
9/22/2020 14:07:56,Upwork,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,,,Agree,No,No,No,4
9/23/2020 16:03:49,PeoplePerHour,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Neutral,,,Disagree,Yes,No,Yes,3
9/23/2020 16:06:39,Freelancer,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Withdrawal of the UK from the EU,,Strongly disagree,Yes,No,Yes,1
